,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,2,7978.0,0.25068939583855604,0.749310604161444,1435.0,5118.0,860.0,565.0,0.14386082301773173,0.8561391769822683,0.7175,0.6252723311546841,0.8213838054650289,0.7868195884911342,0.6682188591385332,0.8740162261625962,3034
1,3,7978.0,0.25068939583855604,0.749310604161444,1442.0,5121.0,857.0,558.0,0.14335898293743732,0.8566410170625627,0.721,0.6272292301000435,0.8226372524442216,0.7888205085312814,0.6708536869039312,0.8756246236199399,3034
2,4,7978.0,0.25068939583855604,0.749310604161444,1406.0,5204.0,774.0,594.0,0.12947474071595855,0.8705252592840415,0.703,0.6449541284403669,0.8285284532464277,0.7867626296420207,0.6727272727272726,0.8738512462361995,3034
3,5,7978.0,0.25068939583855604,0.749310604161444,1394.0,5195.0,783.0,606.0,0.1309802609568418,0.8690197390431582,0.697,0.6403307303628847,0.8258962145901229,0.783009869521579,0.6674646875748145,0.8732708681833389,3034
4,6,7978.0,0.25068939583855604,0.749310604161444,1387.0,5200.0,778.0,613.0,0.13014386082301777,0.8698561391769822,0.6935,0.6406466512702078,0.8256455251942842,0.7816780695884911,0.6660264105642256,0.8729828956172633,3034
5,7,7978.0,0.25068939583855604,0.749310604161444,1386.0,5225.0,753.0,614.0,0.12596186015389765,0.8740381398461023,0.693,0.6479663394109397,0.8286537979443469,0.7835190699230512,0.6697269871949746,0.8737815741050519,3034
6,8,7978.0,0.25068939583855604,0.749310604161444,1401.0,5177.0,801.0,599.0,0.13399130143860827,0.8660086985613917,0.7005,0.6362397820163488,0.8245174229130108,0.7832543492806958,0.6668253212755831,0.8726213198394112,3034
7,9,7978.0,0.25068939583855604,0.749310604161444,1446.0,5115.0,863.0,554.0,0.14436266309802614,0.8556373369019739,0.723,0.6262451277609354,0.8223865630483831,0.789318668450987,0.6711533998607566,0.8744509033121446,3034
8,10,7978.0,0.25068939583855604,0.749310604161444,1399.0,5214.0,764.0,601.0,0.1278019404483105,0.8721980595516895,0.6995,0.646786870087841,0.8289044873401855,0.7858490297758447,0.6721114580831131,0.8741479173636667,3034
9,2,7978.0,0.25068939583855604,0.749310604161444,1388.0,5220.0,758.0,612.0,0.12679826028772168,0.8732017397122783,0.694,0.646784715750233,0.8282777638505892,0.7836008698561392,0.6695610226724553,0.8727494563399131,94469
10,3,7978.0,0.25068939583855604,0.749310604161444,1436.0,5123.0,855.0,564.0,0.1430244228839077,0.8569755771160923,0.718,0.6268005237887385,0.8221358736525445,0.7874877885580461,0.6693078536471685,0.8743191284710605,94469
11,4,7978.0,0.25068939583855604,0.749310604161444,1426.0,5148.0,830.0,574.0,0.1388424222147876,0.8611575777852124,0.713,0.6320921985815603,0.8240160441213337,0.7870787888926062,0.6701127819548872,0.8748476497156239,94469
12,5,7978.0,0.25068939583855604,0.749310604161444,1440.0,5116.0,862.0,560.0,0.14419538307126134,0.8558046169287387,0.72,0.6255430060816681,0.8217598395587866,0.7879023084643693,0.6694560669456067,0.8738912679826029,94469
13,6,7978.0,0.25068939583855604,0.749310604161444,1439.0,5084.0,894.0,561.0,0.14954834392773508,0.8504516560722649,0.7195,0.6168024003429061,0.8176234645274505,0.7849758280361325,0.6642049388414493,0.8735797507527601,94469
14,7,7978.0,0.25068939583855604,0.749310604161444,1436.0,5150.0,828.0,564.0,0.138507862161258,0.861492137838742,0.718,0.6342756183745583,0.825520180496365,0.7897460689193709,0.673545966228893,0.8752964202074272,94469
15,8,7978.0,0.25068939583855604,0.749310604161444,1451.0,5096.0,882.0,549.0,0.14754098360655743,0.8524590163934426,0.7255,0.6219459922846121,0.8206317372775132,0.7889795081967212,0.6697438264481883,0.8756863081298093,94469
16,9,7978.0,0.25068939583855604,0.749310604161444,1352.0,5305.0,673.0,648.0,0.1125794580127133,0.8874205419872867,0.676,0.6676543209876543,0.8344196540486337,0.7817102709936434,0.6718012422360249,0.8745932167949146,94469
17,10,7978.0,0.25068939583855604,0.749310604161444,1428.0,5132.0,846.0,572.0,0.14151890264302447,0.8584810973569755,0.714,0.6279683377308707,0.8222612183504637,0.7862405486784878,0.6682264857276555,0.8746848026095685,94469
18,2,7978.0,0.25068939583855604,0.749310604161444,1370.0,5277.0,701.0,630.0,0.11726329876212782,0.8827367012378722,0.685,0.6615161757605021,0.833166207069441,0.7838683506189361,0.6730533038565464,0.8744824355971896,3725
19,3,7978.0,0.25068939583855604,0.749310604161444,1425.0,5146.0,832.0,575.0,0.1391769822683172,0.8608230177316828,0.7125,0.6313690739920248,0.8236400100275758,0.7866615088658414,0.6694855532064835,0.874356306457009,3725
20,4,7978.0,0.25068939583855604,0.749310604161444,1370.0,5228.0,750.0,630.0,0.12546002007360324,0.8745399799263968,0.685,0.6462264150943396,0.8270243168713963,0.7797699899631985,0.6650485436893204,0.8725562479089997,3725
21,5,7978.0,0.25068939583855604,0.749310604161444,1376.0,5255.0,723.0,624.0,0.12094345935095352,0.8790565406490465,0.688,0.6555502620295379,0.8311606919027326,0.7835282703245232,0.6713832642107832,0.8746464536634326,3725
22,6,7978.0,0.25068939583855604,0.749310604161444,1424.0,5163.0,815.0,576.0,0.13633322181331553,0.8636667781866845,0.712,0.6359982134881643,0.8256455251942842,0.7878333890933422,0.6718565699457419,0.8757814904650385,3725
23,7,7978.0,0.25068939583855604,0.749310604161444,1352.0,5311.0,667.0,648.0,0.11157577785212447,0.8884242221478755,0.676,0.6696384348687469,0.8351717222361494,0.7822121110739377,0.6728041801443145,0.8747975493476079,3725
24,8,7978.0,0.25068939583855604,0.749310604161444,1424.0,5121.0,857.0,576.0,0.14335898293743732,0.8566410170625627,0.712,0.6242875931608943,0.8203810478816747,0.7843205085312813,0.6652651249708013,0.8749113415858146,3725
25,9,7978.0,0.25068939583855604,0.749310604161444,1390.0,5224.0,754.0,610.0,0.12612914018066246,0.8738708598193375,0.695,0.648320895522388,0.8290298320381048,0.7844354299096687,0.6708494208494208,0.8740102459016394,3725
26,10,7978.0,0.25068939583855604,0.749310604161444,1397.0,5192.0,786.0,603.0,0.1314821010371362,0.8685178989628638,0.6985,0.6399450297755382,0.8258962145901229,0.7835089494814319,0.6679416686588574,0.8735590498494481,3725
27,2,7978.0,0.25068939583855604,0.749310604161444,1399.0,5169.0,809.0,601.0,0.1353295416527267,0.8646704583472733,0.6995,0.6336050724637681,0.823263975933818,0.7820852291736367,0.6649239543726235,0.8728546754767481,44006
28,3,7978.0,0.25068939583855604,0.749310604161444,1393.0,5211.0,767.0,607.0,0.12830378052860492,0.8716962194713951,0.6965,0.6449074074074074,0.827776385058912,0.7840981097356976,0.6697115384615384,0.8745562897290062,44006
29,4,7978.0,0.25068939583855604,0.749310604161444,1401.0,5176.0,802.0,599.0,0.13415858146537307,0.8658414185346269,0.7005,0.6359509759418974,0.8243920782150915,0.7831707092673135,0.6666666666666667,0.8731797842087655,44006
30,5,7978.0,0.25068939583855604,0.749310604161444,1451.0,5100.0,878.0,549.0,0.1468718634994982,0.8531281365005018,0.7255,0.6230141691713181,0.8211331160691903,0.7893140682502509,0.6703626703626704,0.8745046420207427,44006
31,6,7978.0,0.25068939583855604,0.749310604161444,1395.0,5177.0,801.0,605.0,0.13399130143860827,0.8660086985613917,0.6975,0.6352459016393442,0.8237653547254951,0.7817543492806959,0.6649189704480458,0.87306243726999,44006
32,7,7978.0,0.25068939583855604,0.749310604161444,1373.0,5262.0,716.0,627.0,0.11977249916359989,0.8802275008364001,0.6865,0.6572522738152226,0.8316620706944097,0.7833637504182,0.6715578381022255,0.8752549347607895,44006
33,8,7978.0,0.25068939583855604,0.749310604161444,1386.0,5191.0,787.0,614.0,0.131649381063901,0.868350618936099,0.693,0.6378278877128394,0.8243920782150915,0.7806753094680494,0.6642703091301221,0.8734395282703245,44006
34,9,7978.0,0.25068939583855604,0.749310604161444,1367.0,5255.0,723.0,633.0,0.12094345935095352,0.8790565406490465,0.6835,0.654066985645933,0.830032589621459,0.7812782703245232,0.6684596577017115,0.8745333305453329,44006
35,10,7978.0,0.25068939583855604,0.749310604161444,1447.0,5117.0,861.0,553.0,0.14402810304449654,0.8559718969555035,0.7235,0.6269497400346621,0.8227625971421408,0.7897359484777517,0.6717734447539462,0.8755931331549014,44006
36,2,7978.0,0.25068939583855604,0.749310604161444,1382.0,5216.0,762.0,618.0,0.1274673803947809,0.8725326196052191,0.691,0.644589552238806,0.8270243168713963,0.7817663098026095,0.6669884169884169,0.8740474657075946,59085
37,3,7978.0,0.25068939583855604,0.749310604161444,1447.0,5106.0,872.0,553.0,0.14586818333890939,0.8541318166610906,0.7235,0.6239758516601983,0.8213838054650289,0.7888159083305453,0.6700625144709423,0.8749102960856474,59085
38,4,7978.0,0.25068939583855604,0.749310604161444,1416.0,5148.0,830.0,584.0,0.1388424222147876,0.8611575777852124,0.708,0.6304541406945681,0.8227625971421408,0.7845787888926061,0.6669806877060763,0.8731774841083975,59085
39,5,7978.0,0.25068939583855604,0.749310604161444,1371.0,5248.0,730.0,629.0,0.12211441953830715,0.8778855804616928,0.6855,0.652546406473108,0.8296565555277011,0.7816927902308464,0.6686174103877104,0.87390887420542,59085
40,6,7978.0,0.25068939583855604,0.749310604161444,1435.0,5115.0,863.0,565.0,0.14436266309802614,0.8556373369019739,0.7175,0.6244560487380331,0.821007771371271,0.7865686684509869,0.6677524429967427,0.8738104299096687,59085
41,7,7978.0,0.25068939583855604,0.749310604161444,1369.0,5240.0,738.0,631.0,0.12345265975242559,0.8765473402475744,0.6845,0.6497389653535833,0.8284031085485084,0.7805236701237872,0.6666666666666666,0.8718078370692539,59085
42,8,7978.0,0.25068939583855604,0.749310604161444,1398.0,5209.0,769.0,602.0,0.12863834058213452,0.8713616594178655,0.699,0.6451315182279649,0.8281524191526698,0.7851808297089327,0.6709863210943123,0.8735271830043493,59085
43,9,7978.0,0.25068939583855604,0.749310604161444,1409.0,5181.0,797.0,591.0,0.13332218133154905,0.866677818668451,0.7045,0.6387126019945603,0.8260215592880421,0.7855889093342254,0.6699952448882549,0.8747413432586149,59085
44,10,7978.0,0.25068939583855604,0.749310604161444,1384.0,5210.0,768.0,616.0,0.12847106055536972,0.8715289394446303,0.692,0.6431226765799256,0.8265229380797192,0.7817644697223152,0.6666666666666666,0.8730598444295751,59085
45,2,7978.0,0.25068939583855604,0.749310604161444,1386.0,5259.0,719.0,614.0,0.1202743392438943,0.8797256607561057,0.693,0.6584323040380048,0.8329155176736024,0.7863628303780528,0.6752740560292326,0.8760153479424556,90622
46,3,7978.0,0.25068939583855604,0.749310604161444,1365.0,5251.0,727.0,635.0,0.12161257945801274,0.8783874205419873,0.6825,0.6524856596558317,0.8292805214339434,0.7804437102709936,0.6671554252199413,0.8732730010036802,90622
47,4,7978.0,0.25068939583855604,0.749310604161444,1418.0,5167.0,811.0,582.0,0.1356641017062563,0.8643358982937437,0.709,0.636159712875729,0.8253948357984457,0.7866679491468718,0.6706077086781745,0.8737127383740382,90622
48,5,7978.0,0.25068939583855604,0.749310604161444,1401.0,5135.0,843.0,599.0,0.14101706256273006,0.8589829374372699,0.7005,0.6243315508021391,0.8192529456004011,0.779741468718635,0.6602262016965127,0.8715684593509536,90622
49,6,7978.0,0.25068939583855604,0.749310604161444,1397.0,5194.0,784.0,603.0,0.1311475409836066,0.8688524590163934,0.6985,0.6405318661164603,0.8261469039859614,0.7836762295081967,0.6682611815355178,0.8745355051856809,90622
50,7,7978.0,0.25068939583855604,0.749310604161444,1398.0,5195.0,783.0,602.0,0.1309802609568418,0.8690197390431582,0.699,0.640990371389271,0.8263975933818,0.7840098695215791,0.6687395359961731,0.874797131147541,90622
51,8,7978.0,0.25068939583855604,0.749310604161444,1375.0,5257.0,721.0,625.0,0.12060889929742391,0.8793911007025761,0.6875,0.6560114503816794,0.8312860366006518,0.783445550351288,0.67138671875,0.8729547925727668,90622
52,9,7978.0,0.25068939583855604,0.749310604161444,1424.0,5141.0,837.0,576.0,0.14001338240214123,0.8599866175978588,0.712,0.6298098186643079,0.8228879418400602,0.7859933087989294,0.6683877024172729,0.8738662177985949,90622
53,10,7978.0,0.25068939583855604,0.749310604161444,1387.0,5244.0,734.0,613.0,0.12278353964536637,0.8772164603546336,0.6935,0.6539368222536539,0.8311606919027326,0.7853582301773168,0.6731375879640864,0.8741877718300436,90622
54,2,7978.0,0.25068939583855604,0.749310604161444,1371.0,5257.0,721.0,629.0,0.12060889929742391,0.8793911007025761,0.6855,0.6553537284894837,0.8307846578089747,0.782445550351288,0.6700879765395894,0.8749423302107728,25049
55,3,7978.0,0.25068939583855604,0.749310604161444,1396.0,5201.0,777.0,604.0,0.12997658079625296,0.870023419203747,0.698,0.6424298205246204,0.8268989721734771,0.7840117096018735,0.6690630242032111,0.8734645784543327,25049
56,4,7978.0,0.25068939583855604,0.749310604161444,1373.0,5227.0,751.0,627.0,0.12562730010036804,0.874372699899632,0.6865,0.646421845574388,0.8272750062672349,0.7804363499498159,0.6658583899127061,0.8744298678487789,25049
57,5,7978.0,0.25068939583855604,0.749310604161444,1411.0,5188.0,790.0,589.0,0.13215122114419542,0.8678487788558046,0.7055,0.6410722398909586,0.8271496615693156,0.7866743894279022,0.671744822661271,0.8747144948143193,25049
58,6,7978.0,0.25068939583855604,0.749310604161444,1388.0,5226.0,752.0,612.0,0.12579458012713285,0.8742054198728672,0.694,0.6485981308411215,0.8290298320381048,0.7841027099364335,0.6705314009661836,0.874292949146872,25049
59,7,7978.0,0.25068939583855604,0.749310604161444,1426.0,5132.0,846.0,574.0,0.14151890264302447,0.8584810973569755,0.713,0.6276408450704225,0.8220105289546252,0.7857405486784877,0.6676029962546816,0.8744154817664771,25049
60,8,7978.0,0.25068939583855604,0.749310604161444,1392.0,5209.0,769.0,608.0,0.12863834058213452,0.8713616594178655,0.696,0.6441462285978714,0.8274003509651542,0.7836808297089327,0.669069935111752,0.8717714118434259,25049
61,9,7978.0,0.25068939583855604,0.749310604161444,1396.0,5154.0,824.0,604.0,0.13783874205419877,0.8621612579458012,0.698,0.6288288288288288,0.821007771371271,0.7800806289729005,0.6616113744075829,0.8704366426898629,25049
62,10,7978.0,0.25068939583855604,0.749310604161444,1420.0,5146.0,832.0,580.0,0.1391769822683172,0.8608230177316828,0.71,0.6305506216696269,0.8230132865379794,0.7854115088658413,0.6679209783631233,0.8738667196386751,25049
63,2,7978.0,0.25068939583855604,0.749310604161444,1399.0,5207.0,771.0,601.0,0.12897290063566413,0.8710270993643359,0.6995,0.6447004608294931,0.8280270744547505,0.7852635496821679,0.6709832134292566,0.8745904148544664,98126
64,3,7978.0,0.25068939583855604,0.749310604161444,1422.0,5158.0,820.0,578.0,0.13716962194713955,0.8628303780528604,0.711,0.6342551293487957,0.8247681123088494,0.7869151890264302,0.6704384724186705,0.8736827116092338,98126
65,4,7978.0,0.25068939583855604,0.749310604161444,1444.0,5139.0,839.0,556.0,0.14034794245567084,0.8596520575443292,0.722,0.6325010950503723,0.8251441464026071,0.7908260287721646,0.6742937193555918,0.8763243141518903,98126
66,5,7978.0,0.25068939583855604,0.749310604161444,1432.0,5115.0,863.0,568.0,0.14436266309802614,0.8556373369019739,0.716,0.6239651416122004,0.8206317372775132,0.7858186684509869,0.6668218859138533,0.8736172214787554,98126
67,6,7978.0,0.25068939583855604,0.749310604161444,1438.0,5093.0,885.0,562.0,0.14804282368685184,0.8519571763131482,0.719,0.6190271201033147,0.8186262221108047,0.785478588156574,0.6652787416146195,0.872399255603881,98126
68,7,7978.0,0.25068939583855604,0.749310604161444,1374.0,5226.0,752.0,626.0,0.12579458012713285,0.8742054198728672,0.687,0.6462841015992474,0.8272750062672349,0.7806027099364337,0.666020358700921,0.8730768233522916,98126
69,8,7978.0,0.25068939583855604,0.749310604161444,1386.0,5229.0,749.0,614.0,0.12529274004683844,0.8747072599531616,0.693,0.6491803278688525,0.829155176736024,0.7838536299765808,0.6703748488512696,0.8727813231850117,98126
